,LSTRNM,postcode,DISTRICT,lat,lon
304,Paradijsstraat,2000,Antwerpen,51.2214124,4.4121074
305,Parochiaanstraat,2000,Antwerpen,51.2202476,4.4115207
306,Pastoor Visschersplein,2000,Antwerpen,51.2166159,4.397330475541762
307,Paternosterstraat,2000,Antwerpen,51.2210002,4.4070704
308,Pelgrimstraat,2000,Antwerpen,51.2200004,4.3999327
309,Peterseliestraat,2000,Antwerpen,51.223964,4.3996255
310,Pieter van Hobokenstraat,2000,Antwerpen,51.2220209,4.4118019
311,Plaatsnijdersstraat,2000,Antwerpen,51.2079799,4.3960118
312,Plantinkaai,2000,Antwerpen,51.2164346,4.393691
313,Pompstraat,2000,Antwerpen,51.2161325,4.3979595
314,Pottenbrug,2000,Antwerpen,51.2225516,4.404234
315,Pourbusstraat,2000,Antwerpen,51.2084686,4.3912687
316,Predikerinnenstraat,2000,Antwerpen,51.2239018,4.4045976
317,Prekersstraat,2000,Antwerpen,51.213922,4.3975838
318,Prinsesstraat,2000,Antwerpen,51.2209855,4.4101037
319,Prinsstraat,2000,Antwerpen,51.2222836,4.4096882
320,Prior Peltiersplaats,2000,Antwerpen,51.2234406,4.4017608
321,Pruynenstraat,2000,Antwerpen,51.219844,4.4072868
322,Raapstraat,2000,Antwerpen,51.2237888,4.4053503
323,Repenstraat,2000,Antwerpen,51.2225593,4.3992595
324,Reyndersstraat,2000,Antwerpen,51.2191901,4.3991172
325,Riemstraat,2000,Antwerpen,51.2135482,4.3931233
326,Rigastraat,2000,Antwerpen,51.2321968,4.4128599
327,Rijke Beukelaarstraat,2000,Antwerpen,51.2158605,4.396712
328,Rijkenhoek,2000,Antwerpen,51.2176765,4.3947788
329,Rijnkaai,2000,Antwerpen,51.229804,4.402136
330,Rijnpoortvest,2000,Antwerpen,51.2248054,4.4139884
331,Rodestraat,2000,Antwerpen,51.2232735,4.4138198
332,Rosier,2000,Antwerpen,51.2139415,4.4030996
333,Roskamgang,2000,Antwerpen,51.2249841,4.4089295
334,Rouaanse Kaai,2000,Antwerpen,51.2268202,4.4011398
335,Ruckersplaats,2000,Antwerpen,51.2224361,4.3999038
336,Salm-Salmstraat,2000,Antwerpen,51.2153664,4.3982894
337,Sandersstraatje,2000,Antwerpen,51.219205,4.395968
338,Sasdok-Zuidkaai,2000,Antwerpen,51.2347061,4.4050699
339,Saucierstraat,2000,Antwerpen,51.2241034,4.3994565
340,Schaliënstraat,2000,Antwerpen,51.2083161,4.3851522
341,Scheldeken,2000,Antwerpen,51.21799,4.3955894
342,Scheldestraat,2000,Antwerpen,51.2105865,4.3970399
343,Schermersstraat,2000,Antwerpen,51.2121137,4.4037889
344,Schildersstraat,2000,Antwerpen,51.208862,4.3957605
345,Schippersstraat,2000,Antwerpen,51.226544,4.4043227
346,Schoenmakersstraat,2000,Antwerpen,51.2215329,4.4017293
347,Schoenmarkt,2000,Antwerpen,51.2184364,4.4039295
348,Schoytestraat,2000,Antwerpen,51.2144658,4.4020721
349,Schrijnwerkersstraat,2000,Antwerpen,51.2177536,4.4037482
350,Schuttershofstraat,2000,Antwerpen,51.216476,4.4079198
351,Sint-Aldegondiskaai,2000,Antwerpen,51.2279271,4.4037167
352,Sint-Andriesplaats,2000,Antwerpen,51.2149991,4.396478989121776
353,Sint-Andriesstraat,2000,Antwerpen,51.2158264,4.3989961
354,Sint-Annatunnel,2000,Antwerpen,51.2187673,4.3957998
355,Sint-Antoniusstraat,2000,Antwerpen,51.2157652,4.4004028
356,Sint-Jacobsmarkt,2000,Antwerpen,51.2206541,4.4100572
357,Sint-Jacobstraat,2000,Antwerpen,51.220606,4.4099191
358,Sint-Jansvliet,2000,Antwerpen,51.2189311,4.3955561
359,Sint-Jorispoort,2000,Antwerpen,51.2125824,4.4066241
360,Sint-Katelijnevest,2000,Antwerpen,51.2189386,4.4050689
361,Sint-Laureiskaai,2000,Antwerpen,51.2297354,4.405685
362,Sint-Maartenstraat,2000,Antwerpen,51.2157711,4.407999
363,Sint-Michielskaai,2000,Antwerpen,51.2152288,4.3928188
364,Sint-Michielstraat,2000,Antwerpen,51.2162391,4.3943126
365,Sint-Nicolaasplaats,2000,Antwerpen,51.2200206,4.4057997
366,Sint-Paulusplaats,2000,Antwerpen,51.2254385,4.4015495
367,Sint-Paulusstraat,2000,Antwerpen,51.2243396,4.4024149
368,Sint-Pieter-en-Paulusstraat,2000,Antwerpen,51.2204945,4.4035057
369,Sint-Pieterstraat,2000,Antwerpen,51.219861,4.4026464
370,Sint-Pietersvliet,2000,Antwerpen,51.2253882,4.4013241
371,Sint-Rochusstraat_AN,2000,Antwerpen,51.21248,4.3993182
372,Sleutelstraat,2000,Antwerpen,51.216203,4.4005592
373,Spanjaardsteeg,2000,Antwerpen,51.2276053,4.4066265
374,Spanjepandsteeg,2000,Antwerpen,51.2220878,4.4000697
375,Stadswaag,2000,Antwerpen,51.22393385,4.4072571293554095
376,Steegsken,2000,Antwerpen,51.2174683,4.3959606
377,Steenbergstraat,2000,Antwerpen,51.2147613,4.3977564
378,Steenhouwersvest,2000,Antwerpen,51.2178072,4.3991793
379,Steenplein,2000,Antwerpen,51.2213599,4.3970692
380,Stijfselrui,2000,Antwerpen,51.2257107,4.4109737
381,Stijfselstraat,2000,Antwerpen,51.2263479,4.410802
382,Stoelstraat,2000,Antwerpen,51.2230736,4.4018464
383,Stoofstraat,2000,Antwerpen,51.2191214,4.3969309
384,Stoopstraat,2000,Antwerpen,51.2139201,4.411097
385,Sudermanstraat,2000,Antwerpen,51.2196601,4.4042096
386,Suikerrui,2000,Antwerpen,51.2207394,4.399103
387,Tabakvest,2000,Antwerpen,51.2127766,4.4077456
388,Tavernierkaai,2000,Antwerpen,51.2272936,4.4013889
389,Tempelstraat,2000,Antwerpen,51.2202006,4.4000979
390,Teniersplaats,2000,Antwerpen,51.218228,4.4142564
391,Terninckgang,2000,Antwerpen,51.2111741,4.4035101
392,Terninckstraat,2000,Antwerpen,51.2119226,4.4028659
393,Theaterplein,2000,Antwerpen,51.21504315,4.409923814722937
394,Theodoor Van Rijswijckplaats,2000,Antwerpen,51.2168054,4.4000931
395,Timmerwerfstraat,2000,Antwerpen,51.212563,4.3910911
396,Tolstraat,2000,Antwerpen,51.2096124,4.3998356
397,Toog,2000,Antwerpen,51.2247165,4.4096371
398,Torfbrug,2000,Antwerpen,51.2210862,4.4016199
399,Tunnelplaats,2000,Antwerpen,51.2268167,4.4131676
400,Twaalfmaandenstraat,2000,Antwerpen,51.2184535,4.4058488
401,Ulrikstraat,2000,Antwerpen,51.2250253,4.4126434
402,Van Aerdtstraat,2000,Antwerpen,51.2276908,4.4158712
403,Van Boendalestraat,2000,Antwerpen,51.2217185,4.4159517
404,Van Craesbeeckstraat,2000,Antwerpen,51.2135146,4.3969058
405,Van Cuyckstraat,2000,Antwerpen,51.2165394,4.4140228
406,Van der Sweepstraat,2000,Antwerpen,51.2068025,4.3858354
407,Van Meterenkaai,2000,Antwerpen,51.2265824,4.4006582
408,Van Schoonbekeplein,2000,Antwerpen,51.2275572,4.4052181
409,Varkensmarkt,2000,Antwerpen,51.2249894,4.4073318
410,Veemarkt,2000,Antwerpen,51.223907,4.400008
411,Vekestraat,2000,Antwerpen,51.2242168,4.4105967
412,Venusstraat,2000,Antwerpen,51.2233448,4.4089263
413,Verbindingsdok-Oostkaai,2000,Antwerpen,51.2309836,4.4078686
414,Verbindingsdok-Westkaai,2000,Antwerpen,51.2298872,4.4065478
